chr1	10039495	10040392	1700034P13Rik	614	114	265	152	227	49	52
chr1	10039495	10040392	A830018L16Rik	614	114	265	152	227	49	52
chr1	10039495	10040392	Adhfe1	614	114	265	152	227	49	52
chr1	10039495	10040392	Arfgef1	614	114	265	152	227	49	52
chr1	10039495	10040392	Cops5	614	114	265	152	227	49	52
chr1	10039495	10040392	Cspp1	614	114	265	152	227	49	52
chr1	10039495	10040392	Rrs1	614	114	265	152	227	49	52
chr1	10039495	10040392	Sgk3	614	114	265	152	227	49	52
chr1	10039495	10040392	Snhg6	614	114	265	152	227	49	52
chr1	10039495	10040392	Sntg1	614	114	265	152	227	49	52
chr1	10039495	10040392	Vcpip1	614	114	265	152	227	49	52
chr1	10039495	10040392	Vxn	614	114	265	152	227	49	52
chr1	105354930	105355430	Gm17634	79	4	24	35	94	37	16
chr1	105354930	105355430	Phlpp1	79	4	24	35	94	37	16
chr1	105354930	105355430	Rnf152	79	4	24	35	94	37	16
chr1	105842689	105843715	Gm17634	60	28	48	35	89	44	7
chr1	105842689	105843715	Rnf152	60	28	48	35	89	44	7
chr1	105907922	105909064	Gm17634	74	19	59	57	93	30	30
chr1	105907922	105909064	Rnf152	74	19	59	57	93	30	30
chr1	106071180	106072492	Phlpp1	109	36	76	102	116	20	27
chr1	106096281	106097219	Phlpp1	82	36	47	40	89	47	16
chr1	106154894	106155716	Phlpp1	42	10	34	39	78	13	42
chr1	106199616	106200116	Phlpp1	136	52	105	75	108	17	16
chr1	106201874	106202374	Phlpp1	93	18	44	54	53	11	11
chr1	106584756	106585620	Kdsr	103	27	50	38	65	28	36
chr1	106584756	106585620	Vps4b	103	27	50	38	65	28	36
chr1	106628668	106630505	Bcl2	308	68	129	111	185	43	77
chr1	106690822	106691731	Bcl2	32	16	32	46	110	19	9
chr1	106690822	106691731	Phlpp1	32	16	32	46	110	19	9
chr1	106702646	106703580	Bcl2	57	33	92	80	124	23	9
chr1	106702646	106703580	Kdsr	57	33	92	80	124	23	9
chr1	106706899	106707615	Bcl2	38	6	24	46	64	16	11
chr1	106706899	106707615	Kdsr	38	6	24	46	64	16	11
chr1	109972071	109972854	Cdh7	84	43	56	50	49	11	4
chr1	109985393	109985893	Cdh7	31	7	13	15	14	2	7
chr1	111833752	111834252	Dsel	6	1	5	6	20	11	1
chr1	111857787	111858287	Dsel	19	10	14	22	33	8	1
chr1	112416240	112417581	Dsel	92	20	35	29	61	18	18
chr1	11657301	11658669	A830018L16Rik	92	35	52	24	48	17	9
chr1	118337866	118338670	Nifk	24	15	24	12	34	13	16
chr1	118337866	118338670	Tsn	24	15	24	12	34	13	16
chr1	118388032	118388532	2900060B14Rik	198	31	50	34	76	21	26
chr1	118388032	118388532	Clasp1	198	31	50	34	76	21	26
chr1	118434576	118436308	2900060B14Rik	104	68	207	292	520	141	39
chr1	118434576	118436308	Clasp1	104	68	207	292	520	141	39
chr1	118434576	118436308	Nifk	104	68	207	292	520	141	39
chr1	118434576	118436308	Ralb	104	68	207	292	520	141	39
chr1	118434576	118436308	Steap3	104	68	207	292	520	141	39
chr1	118434576	118436308	Tmem177	104	68	207	292	520	141	39
chr1	118434576	118436308	Tmem185b	104	68	207	292	520	141	39
chr1	118434576	118436308	Tmem37	104	68	207	292	520	141	39
